Company,Pharma Company Name,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Offense Group,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Civil/Criminal,Prosecution Agreement,Court,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Parent Company Stock Ticker,Major Industry of Parent,Specific Industry of Parent,Info Source,Notes
"Baxalta US, Inc.",Takeda Pharmaceutical,"$35,000 ",$0 ,"$35,000 ",2017,20170207,environment-related offenses,environmental violation,,Self-Reported,local,agency action,South Coast (CA) Air Quality Management District ,civil,,,,,,California,,,,,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2017/2017-apr7-014.pdf?sfvrsn=4,
Johnson & Johnson,Johnson & Johnson,"$2,500,000,000 ",$0 ,"$2,500,000,000 ",2021,20210601,safety-related offenses,product safety violation,,"In 2018 a Missouri state jury awarded $4 billion in damages to a group of women who claimed they developed ovarian cancer from using Johnson & Johnson's talcum powder. A state appeals court reduced the award to $2.1 billion. That award was upheld by the Missouri Supreme Court. After the U.S. Supreme Court refused to hear J&J appeal, the company paid the award plus interest, reporting the total as $2.5 billion.",federal,private litigation,,civil,,St. Louis City (Missouri) Circuit Court,,Ingham v. Johnson & Johnson et al.,verdict,,,,,,,USA,New Jersey,publicly traded,JNJ,pharmaceuticals,pharmaceuticals,https://www.sec.gov/ix?doc=/Archives/edgar/data/200406/000020040621000070/jnj-20211003.htm,
Janssen Pharmaceuticals,Johnson & Johnson,"$387,500,000 ",$0 ,"$387,500,000 ",2019,20190325,safety-related offenses,drug or medical equipment safety violation,product safety violation,Bayer and Janssen Pharmaceuticals agreed to split a $775 million multi-district settlement with thousands of plaintiffs who alleged that the companies failed to warn about bleeding risks associated with the blood thinner Xarelto.,federal,private litigation,,civil,,Eastern District of Louisiana,2:14-md-02592,In Re: Xarelto (Rivaroxaban) Products Liability Litigation,settlement,,,,,,,USA,New Jersey,publicly traded,JNJ,pharmaceuticals,pharmaceuticals,https://www.law360.com/articles/1142309/bayer-janssen-pay-775m-to-end-xarelto-suits,
Organon USA Inc.,Organon & Co.,"$100,000,000 ",$0 ,"$100,000,000 ",2018,20180920,safety-related offenses,drug or medical equipment safety violation,product safety violation,"Organon, then a subsidiary of Merck, agreed to pay $100 million to settle multi-district litigation alleging that its NuvaRing birth control device caused fatal blood clots.",federal,private litigation,,civil,,Eastern District of Missouri,4:08-md-01964,In re: NuvaRing Litigation,settlement,,,,,,,USA,New Jersey,publicly traded,OGN,pharmaceuticals,pharmaceuticals,https://www.law360.com/articles/507908/merck-to-pay-100m-to-end-nuvaring-blood-clot-suits,
Endo International PLC,Endo International,"$775,000,000 ",$0 ,"$775,000,000 ",2017,20170807,safety-related offenses,drug or medical equipment safety violation,product safety violation,Endo International announced that it would pay $775 million to resolve virtually all of the outstanding multi-district litigation over alleged harm caused by the vaginal mesh products made by its American Medical Systems Inc. subsidiary: https://investor.endo.com/news-releases/news-release-details/endo-announces-agreements-resolve-virtually-all-known-us-mesh. This came three years after the company announced it would pay $830 million to settle most of the suits that had been outstanding at that time (see separate entry).,federal,private litigation,,civil,,Southern District of West Virginia,2:12md2325,"In Re: American Medical Systems, Inc., Pelvic Repair System Products Liability Litigation",settlement,,,,,,,Ireland,,publicly traded,ENDP,pharmaceuticals,pharmaceuticals,https://www.law360.com/articles/952059/endo-to-pay-775m-to-end-virtually-all-known-mesh-suits,
Daiichi Sankyo Inc.,Daiichi Sankyo,"$300,000,000 ",$0 ,"$300,000,000 ",2017,20170801,safety-related offenses,product safety violation,,Daiichi Sankyo agreed to pay $300 million to settle multi-district litigation alleging that the blood pressure drug Benicar caused gastrointestinal problems.,federal,private litigation,,civil,,District of New Jersey,MDL No. 2606,In Re: Benicar (Olmesartan) Products Liability Litigation,settlement,,,,,,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.law360.com/articles/950057/daiichi-forest-reach-300m-settlement-in-benicar-mdl,
Endo Health Solutions Inc.,Endo International,"$15,500,000 ",$0 ,"$15,500,000 ",2017,20170623,safety-related offenses,product safety violation,,Endo Health Solutions agreed to pay $15.5 million to settle a class action alleging that the company's multi-vitamins did not contain as much fluoride as advertised.,federal,private litigation,,civil,,Southern District of New York,1:15cv9841,"Mahoney v. Endo Health Solutions, Inc. ",settlement,,,,,,,Ireland,,publicly traded,ENDP,pharmaceuticals,pharmaceuticals,https://www.law360.com/articles/834084/endo-vitamin-buyers-reach-15-5m-settlement-agreement,
Takeda Pharmaceutical Co. Ltd.,Takeda Pharmaceutical,"$2,400,000,000 ",$0 ,"$2,400,000,000 ",2015,20150427,safety-related offenses,drug or medical equipment safety violation,product safety violation,In April 2015 Takeda announced that it would put up to $2.4 billion into a fund to settle multi-district litigation alleging that its diabetes drug Actos increased the risk of bladder cancer: https://www.takeda.com/en-us/newsroom/news-releases/2015/takeda-agrees-to-settle-actos-product-liability-lawsuits-and-claims-takeda-stresses-continued-commitment-to-actos/,federal,private litigation,,civil,,Western District of Louisiana,6:11md2299,In Re: Actos (Pioglitazone) Products Liability Litigation,settlement,,,,,,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.law360.com/articles/648942/takeda-will-pay-up-to-2-4b-to-resolve-actos-suits,
Boehringer Ingelheim International,Boehringer Ingelheim,"$650,000,000 ",$0 ,"$650,000,000 ",2014,20140528,safety-related offenses,drug or medical equipment safety violation,product safety violation, Boehringer Ingelheim agreed to pay $650 million to settle multi-district litigation alleging that its blood thinner Pradaxa caused harms such as severe bleeding: https://www.boehringer-ingelheim.us/press-release/boehringer-ingelheim-announces-comprehensive-settlement-us-pradaxa-dabigatran,federal,private litigation,,civil,,Southern District of Illinois,3:12md2385,In Re: Pradaxa (Dabigatran Etexilate) Products Liability Litigation,settlement,,,,,,,Germany,,privately held,,pharmaceuticals,pharmaceuticals,https://www.law360.com/articles/542027/boehringer-pays-650m-to-settle-pradaxa-mdl,
Endo International PLC,Endo International,"$830,000,000 ",$0 ,"$830,000,000 ",2014,20140430,safety-related offenses,drug or medical equipment safety violation,product safety violation,Endo International announced that it would pay $830 million to resolve most of the outstanding multi-district litigation over alleged harm caused by the vaginal mesh products made by its American Medical Systems Inc. subsidiary: https://investor.endo.com/news-releases/news-release-details/endo-reaches-agreements-principle-settle-substantial-majority,federal,private litigation,,civil,,Southern District of West Virginia,2:12md2325,"In Re: American Medical Systems, Inc., Pelvic Repair System Products Liability Litigation",settlement,,,,,,,Ireland,,publicly traded,ENDP,pharmaceuticals,pharmaceuticals,https://www.law360.com/articles/533509/endo-to-pay-830m-to-settle-most-vaginal-mesh-cases,
Merck,Merck,"$27,700,000 ",$0 ,"$27,700,000 ",2014,20140324,safety-related offenses,drug or medical equipment safety violation,product safety violation,Merck agreed to pay over $27 million to settle multi-district litigation alleging that its osteoporosis drug Fosamax caused bones in the jaw to deteriorate.,federal,private litigation,,civil,,Southern Disrict of New York,1:06md1789,In Re: Fosamax Products Liability Litigation,settlement,,,,,,,USA,New Jersey,publicly traded,MRK,pharmaceuticals,pharmaceuticals,https://www.reuters.com/article/us-merck-fosamax/merck-agrees-to-proposed-27-7-million-settlement-over-fosamax-lawsuits-idUSBRE9B811S20131209,
"DePuy Orthopaedics, Inc.",Johnson & Johnson,"$2,475,000,000 ",$0 ,"$2,475,000,000 ",2013,20131119,safety-related offenses,drug or medical equipment safety violation,product safety violation,"DePuy Orthopaedics, a subsidiary of Johnson & Johnson, agreed to pay more than $2 billion to settle multi-district litigation relating to faulty hip implants.",federal,private litigation,,civil,,Northern District of Ohio,1:10md2197,ASR Hip Implant Products Liability Litigation,settlement,,,,,,,USA,New Jersey,publicly traded,JNJ,pharmaceuticals,pharmaceuticals,http://www.nytimes.com/2013/11/20/business/johnson-johnson-to-offer-2-5-billion-hip-device-settlement.html?_r=0,
Pfizer,Pfizer,"$288,000,000 ",$0 ,"$288,000,000 ",2013,20130228,safety-related offenses,drug or medical equipment safety violation,product safety violation,Pfizer disclosed that in 2012 it recorded a charge of $288 million to cover the cost of settling multi-district litigation alleging that its smoking cessation product Chantix was linked to depression and suicidal behavior.,federal,private litigation,,civil,,Northern District of Alabama,2:09cv2039,In re: Chantix (Varenicline) Products Liability Litigation,settlement,,,,,,,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,https://www.sec.gov/Archives/edgar/data/78003/000007800313000006/pfe-12312012xex13.htm,
Teva Pharmaceuticals Industries Ltd.,Teva Pharmaceutical Industries,"$270,000,000 ",$0 ,"$270,000,000 ",2012,20120217,safety-related offenses,product safety violation,,In 2012 Teva Pharmaceuticals disclosed that it had spent or put aside $270 million to cover the costs of numerous settlements relating to the role of its anesthetic Propofol in causing a hepatitis C outbreak: https://www.sec.gov/Archives/edgar/data/818686/000119312512067417/d300203d20f.htm,federal,private litigation,,civil,,,,,settlement,,,,,,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,https://www.law360.com/articles/311481/teva-to-pay-270m-in-propofol-hepatitis-suits,
AstraZeneca,AstraZeneca,"$198,000,000 ",$0 ,"$198,000,000 ",2010,20100810,safety-related offenses,drug or medical equipment safety violation,product safety violation,AstraZeneca agreed to pay $198 million to settle multi-district litigation alleging that its anti-psychotic drug Seroquel created an elevated risk for diabetes.,federal,private litigation,,civil,,Middle District of Florida,6:06md1769,In Re: Seroquel Products Liability Litigation,settlement,,,,,,,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,https://www.law360.com/articles/186391/astrazeneca-to-pay-198m-to-end-seroquel-suits,
GlaxoSmithKline,GlaxoSmithKline,"$770,000,000 ",$0 ,"$770,000,000 ",2010,20100714,safety-related offenses,drug or medical equipment safety violation,product safety violation,"In July 2010 GlaxoSmithKline announced it was recording a charge of $2.36 billion to pay for legal expenses, including multi-district product liability litigation relating to claims that its diabetes drug Avandia created a heightened risk of heart attacks. The company did not specify in the announcement how much of the total was going for the Avandia cases, which were settled confidentially, but there were reports during this period of three large batches: $60 million (https://www.bloomberg.com/news/articles/2010-05-10/glaxo-said-to-pay-about-60-million-in-first-settlement-of-avandia-drug); $460 million (https://www.bloomberg.com/news/articles/2010-07-13/glaxosmithkline-is-said-to-pay-460-million-to-settle-avandia-damage-suits); and $250 million (https://www.fiercepharma.com/pharma/gsk-settles-more-avandia-litigation-for-250m).",federal,private litigation,,civil,,Eastern District of Pennsylvania,2:07md1871,"In Re:Avandia Marketing, Sales Practices And Products Liability Litigation",settlement,,,,,,,United Kingdom,,publicly traded,LSE: GSK,pharmaceuticals,pharmaceuticals,https://www.gsk.com/en-gb/media/press-releases/glaxosmithkline-legal-update/,
Merck,Merck,"$41,500,000 ",$0 ,"$41,500,000 ",2010,20100209,safety-related offenses,drug or medical equipment safety violation,product safety violation,"Merck and Schering-Plough, which subsequently merged, agreed to pay $41.5 million to settle litigation alleging they concealed an unfavorable study of the effectiveness of their cholesterol drug Vytorin. ",federal,private litigation,,civil,,District of New Jersey,2:08cv285,In Re Vytorin/Zetia Marketing Sales Practices and Products Liability,settlement,,,,,,,USA,New Jersey,publicly traded,MRK,pharmaceuticals,pharmaceuticals,https://www.law360.com/articles/123759/merck-schering-win-initial-ok-for-42m-vytorin-deal,
GlaxoSmithKline,GlaxoSmithKline,"$28,000,000 ",$0 ,"$28,000,000 ",2009,20090904,safety-related offenses,drug or medical equipment safety violation,product safety violation,GlaxoSmithKline agreed to pay $28 million to settle two class actions alleging that the company's Puerto Rico plant produced defective versions of the antidepressant Paxil CR that caused the pills to split apart into their active ingredient and controlled release halves.,federal,private litigation,,civil,,District of Puerto Rico,3:06cv1230,Simonet v. GlaxoSmithKline et al,settlement,,,,,,,United Kingdom,,publicly traded,LSE: GSK,pharmaceuticals,pharmaceuticals,https://www.law360.com/articles/89503/gsk-offers-28m-to-settle-suits-over-defective-paxil,
Pfizer,Pfizer,"$745,000,000 ",$0 ,"$745,000,000 ",2008,20081017,safety-related offenses,drug or medical equipment safety violation,product safety violation,"In October 2008 Pfizer said it was taking a charge of $894 million to cover litigation costs relating to its anti-inflammatory drugs Bextra and Celebrex. Of the total, $745 million was to cover product liability suits relating to the two drugs.",federal,private litigation,,civil,,Northern District of California,3:05md1699,"In Re Bextra And Celebrex Marketing, Sales Practices And Products Liability",settlement,,,,,,,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,https://www.nytimes.com/2008/10/18/business/18drug.html,
GlaxoSmithKline,GlaxoSmithKline,"$40,000,000 ",$0 ,"$40,000,000 ",2008,20080930,safety-related offenses,drug or medical equipment safety violation,product safety violation,GlaxoSmithKline agreed to pay $40 million to settle class action litigation alleging that it promoted its anti-depressant Paxil for teenagers despite clinical trials showing the drug was ineffective and unsafe.,federal,private litigation,,civil,,District of Minnesota,0:04cv3500,Gerdts v. Smithkline Beecham Corporation,settlement,,,,,,,United Kingdom,,publicly traded,LSE: GSK,pharmaceuticals,pharmaceuticals,https://www.law360.com/articles/71307/court-oks-40m-paxil-deal-with-third-party-payors,
Merck & Co.,Merck,"$4,850,000,000 ",$0 ,"$4,850,000,000 ",2007,20071109,safety-related offenses,drug or medical equipment safety violation,product safety violation,Merck agreed to pay a total of $4.85 billion to settle multi-district litigation brought by thousands of plaintiffs claiming the company's heavily promoted anti-inflammatory drug Vioxx caused injury or death. The settlement agreement is here: https://www.sec.gov/Archives/edgar/data/64978/000095012307015538/y42609exv10w1.htm,federal,private litigation,,civil,,Eastern District of Louisiana,2:05-md-01657,Re: Vioxx Products Liability Litigation,settlement,,,,,,,USA,New Jersey,publicly traded,MRK,pharmaceuticals,pharmaceuticals,https://www.nytimes.com/2007/11/09/business/09cnd-merck.html,
Eli Lilly and Company,Eli Lilly,"$500,000,000 ",$0 ,"$500,000,000 ",2007,20070104,safety-related offenses,drug or medical equipment safety violation,product safety violation,"Lilly agreed to pay $500 million to settle multi-district litigation alleging that its schizophrenia medication Zyprexa caused diabetes. This amount, covering about 18,000 claims, was in addition to $690 million it agreed to pay in 2005 to cover more than 8,000 earlier suits (see separate Violation Tracker entry). The company's announcement was included on page 36 in this SEC filing: https://www.sec.gov/Archives/edgar/data/59478/000095013707003013/c12621e10vk.htm",federal,private litigation,,civil,,Eastern District of New York,1:04md1596,In Re: Zyprexa Products Liability Litigation,settlement,,,,,,,USA,Indiana,publicly traded,LLY,pharmaceuticals,pharmaceuticals,https://www.nytimes.com/2007/01/05/business/05drug.html,
GlaxoSmithKline,GlaxoSmithKline,"$63,833,148 ",$0 ,"$63,833,148 ",2006,20061006,safety-related offenses,drug or medical equipment safety violation,product safety violation,GlaxoSmithKline agreed to pay over $63 million to settle class action litigation alleging that it promoted its anti-depressant Paxil for teenagers despite clinical trials showing the drug was ineffective and unsafe.,state,private litigation,,civil,,Third Judicial Circuit Court of Madison County (IL),04-L-715,Hoormann et al. vs. SmithKline Beecham Corporation d/b/a GlaxoSmithKline ,settlement,,,,,,,United Kingdom,,publicly traded,LSE: GSK,pharmaceuticals,pharmaceuticals,http://s3.amazonaws.com/fcmd/documents/documents/000/000/962/original/glaxosmithkline-paxil_madison-county_settlement.pdf?1423019717,
Johnson & Johnson,Johnson & Johnson,"$15,000,000 ",$0 ,"$15,000,000 ",2005,20051215,safety-related offenses,drug or medical equipment safety violation,product safety violation,Johnson & Johnson agreed to pay up to $15 million to settle a second round of multi-district litigation alleging that its heartburn drug Propulsid caused cardiac problems.,federal,private litigation,,civil,,Eastern District of Louisiana,2:00md1355,In Re: Propulsid Prod V.,settlement,,,,,,,USA,New Jersey,publicly traded,JNJ,pharmaceuticals,pharmaceuticals,https://www.law360.com/articles/30570/propulsid-suits-dismissed-as-case-draws-to-a-close,
Eli Lilly and Company,Eli Lilly,"$690,000,000 ",$0 ,"$690,000,000 ",2005,20050916,safety-related offenses,drug or medical equipment safety violation,product safety violation,Lilly agreed to pay $690 million to settle multi-district litigation alleging that its schizophrenia medication Zyprexa caused diabetes. The company's announcement was included in this SEC filing: https://www.sec.gov/Archives/edgar/data/59478/000129993305004762/htm_7115.htm,federal,private litigation,,civil,,Eastern District of New York,1:04md1596,In Re: Zyprexa Products Liability Litigation,settlement,,,,,,,USA,Indiana,publicly traded,LLY,pharmaceuticals,pharmaceuticals,https://www.nytimes.com/2005/06/10/business/lilly-to-pay-690-million-in-drug-suits.html,
Johnson & Johnson,Johnson & Johnson,"$90,000,000 ",$0 ,"$90,000,000 ",2004,20040130,safety-related offenses,drug or medical equipment safety violation,product safety violation,Johnson & Johnson agreed to pay up to $90 million to settle multi-district litigation alleging that its heartburn drug Propulsid caused cardiac problems.,federal,private litigation,,civil,,Eastern District of Louisiana,2:00md1355,In Re: Propulsid Prod V.,settlement,,,,,,,USA,New Jersey,publicly traded,JNJ,pharmaceuticals,pharmaceuticals,https://pink.pharmaintelligence.informa.com/PS043304/JampJ-agrees-to-Propulsid-settlement,
Pfizer,Pfizer,"$750,000,000 ",$0 ,"$750,000,000 ",2004,20040122,safety-related offenses,drug or medical equipment safety violation,product safety violation,"In January 2004 Pfizer announced that it had taken a $975 million charge to cover legal costs, including 35,000 personal injury lawsuits alleging that the diabetes drug Rezulin, which had been sold by its subsidiary Warner-Lambert, caused liver damage. The company did not announce the cost of the Rezulin settements, but it was reported that the amount was $750 million: https://pink.pharmaintelligence.informa.com/PS050916/Pfizer-settles-Rezulin-product-liability-litigation",federal,private litigation,,civil,,Southern District of New York,1:00cv2843,In Re: Rezulin Products Liability Litigation,settlement,,,,,,,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,https://www.sec.gov/Archives/edgar/data/78003/000089109204000229/e16658ex99.txt,
Johnson & Johnson,Johnson & Johnson,"$45,000,000 ",$0 ,"$45,000,000 ",2002,20020318,safety-related offenses,drug or medical equipment safety violation,product safety violation,Johnson & Johnson unit Lifescan Inc. agreed to pay $45 million to settle class action litigation that its blood sugar meters were defective.,federal,private litigation,,civil,,Northern District of California,5:98cv20321,"In Re Lifescan, Inc.",settlement,,,,,,,USA,New Jersey,publicly traded,JNJ,pharmaceuticals,pharmaceuticals,https://www.nytimes.com/2001/11/28/business/company-news-johnson-johnson-unit-will-pay-45-million-settlement.html,
American Home Products,Pfizer,"$3,750,000,000 ",$0 ,"$3,750,000,000 ",2002,20020103,safety-related offenses,drug or medical equipment safety violation,product safety violation,In January 2002 American Home Products announced that it had finalized a $3.75 billion settlement of multi-district litigation concerning alleged harms caused by its diet drug combination known as fen-phen: https://www.sec.gov/Archives/edgar/data/5187/000000518702000005/ann10k01.txt.,federal,private litigation,,civil,,Eastern District of Pennsylvania,MDL No. 1203,IN RE: Diet Drugs (Phentermine/Fenfluramine/Dexfenfluramine) Products Liability Litigation,settlement,,,,,,,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,https://www.nytimes.com/2002/01/11/business/fen-phen-settlement-approved.html,
Teva Pharmaceutical Industries Ltd.,Teva Pharmaceutical Industries,"$225,000,000 ",$0 ,"$225,000,000 ",2022,20220207,healthcare-related offenses,off-label or unapproved promotion of medical products,,Teva agreed to pay $150 million and provide $75 million of overdose treatment medication in settlement of allegations it improperly marketed the opiods it manufactured.,state,agency action,Texas Attorney General,civil,,,,,,Texas,,,,,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,https://www.texasattorneygeneral.gov/news/releases/paxton-reaches-another-opioid-settlement-texas-225-million-against-teva,
Endo Health Solutions Inc. and Endo Pharmaceuticals Inc.,Endo International,"$65,000,000 ",$0 ,"$65,000,000 ",2022,20220118,healthcare-related offenses,off-label or unapproved promotion of medical products,,Endo agreed to pay $65 million ($55 million for opioid remediation and up to $10 million litigation costs) in settlement of allegations the company violated Florida law by deceptively marketing opioid pain medications by downplaying the associated risks and also failed to monitor and report suspicious orders of opioid pain medication.,state,agency action,Florida Attorney General,civil,,,,,,Florida,,,,,,Ireland,,publicly traded,ENDP,pharmaceuticals,pharmaceuticals,http://www.myfloridalegal.com/newsrel.nsf/newsreleases/DBE8B56810857CB3852587CE00776C03?Open&,
"Abbott Cardiovascular Systems, Inc.",Abbott Laboratories,"$12,000 ",$0 ,"$12,000 ",2011,20110223,environment-related offenses,environmental violation,,air pollution,local,agency action,South Coast (CA) Air Quality Management District ,civil,,,,,,California,,,,,,USA,Illinois,publicly traded,ABT,pharmaceuticals,pharmaceuticals,http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2011/2011-apr1-012.pdf?sfvrsn=2,
"Abraxis Bioscience, Inc.",Bristol-Myers Squibb,"$5,000 ",$0 ,"$5,000 ",2012,20121109,environment-related offenses,environmental violation,,air pollution,local,agency action,South Coast (CA) Air Quality Management District ,civil,,,,,,California,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2013/2013-jan4-010.pdf?sfvrsn=0,
"Abbott Cardiovascular Systems, Inc.",Abbott Laboratories,"$93,700 ",$0 ,"$93,700 ",2013,20131023,environment-related offenses,environmental violation,,air pollution,local,agency action,South Coast (CA) Air Quality Management District ,civil,,,,,,California,,,,,,USA,Illinois,publicly traded,ABT,pharmaceuticals,pharmaceuticals,http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2013/2013-dec6-018.pdf?sfvrsn=2,
EISAI INC.,Eisai,"$6,376 ",$0 ,"$6,376 ",2010,20100114,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Massachusetts,ANDOVER,4 CORPORATE DRIVE,1810,325412,325412: Pharmaceutical Preparation Manufacturing,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
COVIDIEN DBA MALLINCKRODT INC.,Mallinckrodt,"$41,613 ",$0 ,"$41,613 ",2010,20100628,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Missouri,ST. LOUIS,3600 N. SECOND STREET,63147,325412,325412: Pharmaceutical Preparation Manufacturing,Ireland,,publicly traded,MNK,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"AMGEN SF, LLC",Amgen,"$5,400 ",$0 ,"$5,400 ",2013,20130515,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,SOUTH SAN FRANCISCO,1100-1120 VETERANS BLVD.,94080,541711,541711: Research and Development in Biotechnology,USA,California,publicly traded,AMGN,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"PFIZER, INC.",Pfizer,"$9,600 ",$0 ,"$9,600 ",2012,20120118,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Connecticut,GROTON,558 EASTERN POINT ROAD,6340,325412,325412: Pharmaceutical Preparation Manufacturing,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
AAIPHARMA SERVICES CORP.,Alcami,"$11,550 ",$0 ,"$11,550 ",2013,20130104,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,North Carolina,WILMINGTON,2320 SCIENTIFIC PARK DRIVE,28405,541380,541380: Testing Laboratories,USA,North Carolina,privately held,,pharmaceuticals,pharmaceutical manufacturing services,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
SIGMA-ALDRICH CORPORATION,Merck KGaA (EMD),"$10,115 ",$0 ,"$10,115 ",2012,20120424,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Ohio,CLEVELAND,4353 E. 49TH STREET,44125,325199,325199: All Other Basic Organic Chemical Manufacturing,Germany,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"ALEXION PHARMACEUTICALS, INC.",AstraZeneca,"$8,213 ",$0 ,"$8,213 ",2012,20120725,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Rhode Island,SMITHFIELD,100 TECHNOLOGY WAY,2917,325414,325414: Biological Product (except Diagnostic) Manufacturing,United Kingdom,,publicly traded,LSE: AZN,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
NOVARTIS CONSUMER HEALTH INC.,Novartis,"$6,078 ",$0 ,"$6,078 ",2013,20130430,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Nebraska,LINCOLN,10401 HWY 6,68517,325412,325412: Pharmaceutical Preparation Manufacturing,Switzerland,,publicly traded,NYSE: NVS,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
ANIKA THERAPEUTICS INC.,Anika Therapeutics,"$5,800 ",$0 ,"$5,800 ",2013,20130613,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Massachusetts,BEDFORD,32 WIGGINS AVENUE,1730,325411,325411: Medicinal and Botanical Manufacturing,USA,Massachusetts,publicly traded,ANIK,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"BIOGEN IDEC, INC.",Biogen Idec,"$7,500 ",$0 ,"$7,500 ",2014,20140902,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Massachusetts,CAMBRIDGE,14 CAMBRIDGE CENTER,2142,325412,325412: Pharmaceutical Preparation Manufacturing,USA,Massachusetts,publicly traded,BIIB,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
SANOFI PASTEUR INC.,Sanofi,"$7,000 ",$0 ,"$7,000 ",2014,20141001,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Pennsylvania,SWIFTWATER,DISCOVERY DRIVE,18370,325414,325414: Biological Product (except Diagnostic) Manufacturing,France,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"ZOETIS, LLC",Zoetis,"$7,140 ",$0 ,"$7,140 ",2015,20150323,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Illinois,WHITE HALL,EAST LINCOLN STREET,62092,325414,325414: Biological Product (except Diagnostic) Manufacturing,USA,New Jersey,publicly traded,ZTS,pharmaceuticals,animal health products,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
